買	企業名	コード	ビジネスモデル	17業種	33業種	テンバガー指標	ノーバガー指標	PER	何倍株か	決算	決算伸び率%	IPO情報URL	有価証券報告書	IR	事業内容	想定時価総額（億円）	会社設立	上場日	市場	株主名と比率	企業業績のデータ（5年分）	管理人からのコメント	会社URL
	スカイマーク											https://www.ipokiso.com/company/2022/skymark.html		https://irbank.net//ir	定期航空運送事業など	693.8	1996年11月（27年目）	12月14日(水)	東証グロース	"[{""株主名"": ""インテグラル2号投資事業有限責任組合"", ""比率"": 42.93, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""UDSエアライン投資事業有限責任組合"", ""比率"": 33.4, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""ANAホールディングス（株）"", ""比率"": 16.5, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""Integral Fund    II(A)L.P."", ""比率"": 4.75, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""インテグラル2号SS投資事業有限責任組合"", ""比率"": 2.42, ""ロックアップ"": """", ""isCEO"": false}]"	"[{""事業収益（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""経常利益（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""当期純利益（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""純資産額 （百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""1株あたりの純資産額（円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""1株あたりの純利益（円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""自己資本比率（％）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""自己資本利益率（％）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}]"	スカイマーク（9204）、「リーズナブルな価格」と「シンプル・わかりやすい商品」をコンセプトに、他社よりもお得な料金で航空運送サービスを提供しています。直近の業績推移を見ると、新型コロナウイルスの影響で航空輸送機会が減り、赤字が続いています。しかし、2023年3月期はその影響がやや軽微になり、第2四半期時点では黒字化しています。	https://www.skymark.co.jp/
	大栄環境											https://www.ipokiso.com/company/2022/dinsgr.html		https://irbank.net//ir	一般・産業廃棄物の収集運搬、中間処理・再資源化および最終処分を中心とする環境関連事業および有価資源リサイクル事業	1207.5	1979年10月（44年目）	12月14日(水)	東証プライム	"[{""株主名"": ""ウイングトワ（株）"", ""比率"": 98.28, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""大栄環境従業員持株会"", ""比率"": 1.3, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""金子 文雄（社長）"", ""比率"": 0.05, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""井上 吉一"", ""比率"": 0.05, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""大田 成幸"", ""比率"": 0.05, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""篠原 啓二"", ""比率"": 0.05, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""東井 基光"", ""比率"": 0.02, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""石川 光一"", ""比率"": 0.02, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""出射 邦彦"", ""比率"": 0.02, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""下田 守彦"", ""比率"": 0.02, ""ロックアップ"": ""180日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""経常利益（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""当期純利益（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""純資産額 （百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""1株あたりの純資産額（円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""1株あたりの純利益（円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""自己資本比率（％）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""自己資本利益率（％）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}]"	大栄環境（9336）、産業廃棄物を収集し、中間処理をおこない、再生利用できるものを再資源化して販売し、再生利用できないものを最終処分しています。事業拠点は、近畿エリアを中心に、関東エリア、北海道、熊本県に展開しています。成長戦略としてM&Aを上げています。実績としては、現在の連結子会社29社のうち、17社をM&Aしています。	https://www.dinsgr.co.jp/
	propertytechnologies											https://www.ipokiso.com/company/2022/pptc.html		https://irbank.net//ir	中古住宅再生および戸建住宅（KAITRY事業）	119.0	2020年11月（3年目）	12月13日(火)	東証グロース	"[{""株主名"": ""濱中    雄大（社長）"", ""比率"": 76.42, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""J-GIA1号投資事業有限責任組合"", ""比率"": 18.52, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""みずほ成長支援投資事業有限責任組合"", ""比率"": 0.75, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""髙橋 正哉"", ""比率"": 0.64, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""杉浦 潤一"", ""比率"": 0.56, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""田井 昇"", ""比率"": 0.56, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""水野 治"", ""比率"": 0.37, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""松岡 耕平"", ""比率"": 0.37, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""下村 貴之"", ""比率"": 0.37, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""樋口 勝弘"", ""比率"": 0.2, ""ロックアップ"": ""継続保有"", ""isCEO"": false}]"	"[{""営業収益（百万円）"": {""2019年11月"": null, ""2020年11月"": null, ""2021年11月"": null, ""2022年11月  （第3四半期）"": null}}, {""経常利益（百万円）"": {""2019年11月"": null, ""2020年11月"": null, ""2021年11月"": null, ""2022年11月  （第3四半期）"": null}}, {""当期純利益（百万円）"": {""2019年11月"": null, ""2020年11月"": null, ""2021年11月"": null, ""2022年11月  （第3四半期）"": null}}, {""純資産額 （百万円）"": {""2019年11月"": null, ""2020年11月"": null, ""2021年11月"": null, ""2022年11月  （第3四半期）"": null}}, {""1株あたりの純資産額（円）"": {""2019年11月"": null, ""2020年11月"": null, ""2021年11月"": null, ""2022年11月  （第3四半期）"": null}}, {""1株あたりの純利益（円）"": {""2019年11月"": null, ""2020年11月"": null, ""2021年11月"": null, ""2022年11月  （第3四半期）"": null}}, {""自己資本比率（％）"": {""2019年11月"": null, ""2020年11月"": null, ""2021年11月"": null, ""2022年11月  （第3四半期）"": null}}, {""自己資本利益率（％）"": {""2019年11月"": null, ""2020年11月"": null, ""2021年11月"": null, ""2022年11月  （第3四半期）"": null}}]"	property technologies[プロパティ テクノロジーズ]（5527）、リノベーション済み中古マンションの提供、新築戸建て住宅の提供、AIによる不動産価格の査定や物件売却手法の提案などをするポータルサイト「KAITRY」を運営しています。直近の物件売買動向を見ると、中古マンションの販売は順調に伸びていますが、新築戸建ての方は横ばいになっています。	https://pptc.co.jp/
	サイフューズ											https://www.ipokiso.com/company/2022/cyfusebio.html		https://irbank.net//ir	バイオ3Dプリンタを用いた、再生医療等製品の開発・製造・販売	125.1	2010年8月（13年目）	12月1日(木)	東証グロース	"[{""株主名"": ""SBI    Ventures Two（株）"", ""比率"": 7.23, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""秋枝 静香（社長）"", ""比率"": 6.78, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""富士フイルム（株）"", ""比率"": 6.39, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""ニッセイ・キャピタル7号投資事業有限責任組合"", ""比率"": 5.6, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""三條 真弘"", ""比率"": 5.09, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""積水化学工業（株）"", ""比率"": 5.01, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""CYBERDYNE（株）"", ""比率"": 4.71, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""中山 功一"", ""比率"": 3.75, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""三菱UFJキャピタル4号投資事業有限責任組合"", ""比率"": 3.71, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""（株）新生銀行"", ""比率"": 3.29, ""ロックアップ"": ""180日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""経常利益（百万円）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""当期純利益（百万円）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""純資産額 （百万円）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""1株あたりの純資産額（円）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""1株あたりの純利益（円）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""自己資本比率（％）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""自己資本利益率（％）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}]"	サイフューズ（4892）、自社で開発した3Dプリンタ「Regenova」および「S-PIKE」による基盤技術の普及とともに、神経・骨軟骨・血管など様々な組織・臓器再生の再生医療等製品を開発、販売をしています。	https://www.cyfusebio.com/
	ウェルプレイド・ライゼスト											https://www.ipokiso.com/company/2022/wellplayed-rizest.html		https://irbank.net//ir	eスポーツ事業	28.9	2015年11月（8年目）	11月30日(水)	東証グロース	"[{""株主名"": ""(株)カヤック"", ""比率"": 58.91, ""ロックアップ"": ""180日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""谷田 優也（社長）"", ""比率"": 9.06, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""髙尾 恭平"", ""比率"": 9.06, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""副島 雄一"", ""比率"": 9.06, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""古澤 明仁"", ""比率"": 2.83, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""原田 清士"", ""比率"": 2.27, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""浅野 洋将"", ""比率"": 1.89, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""鈴木 文雄"", ""比率"": 1.42, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""若山 史郎"", ""比率"": 1.32, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""坂田 潤"", ""比率"": 0.94, ""ロックアップ"": ""継続保有"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""経常利益（百万円）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""当期純利益（百万円）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""純資産額 （百万円）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""1株あたりの純資産額（円）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""1株あたりの純利益（円）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""自己資本比率（％）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""自己資本利益率（％）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}]"	ウェルプレイド・ライゼスト（9565）、eスポーツイベントの企画・運営、eスポーツ選手・実況者・解説者などのサポート、eスポーツの新たな価値を創造していくための新規事業をおこなっています。収益モデルは、eスポーツイベントの受託、企業とeスポーツ選手や関連人材の仲介、ゲーム配信に関わるサポートなどで報酬を受け取る形となっています。eスポーツ分野がメイン事業のIPOは初となります。今後の関連IPOの指標にもなると思いますので注目です。	https://wellplayed-rizest.jp/
	tripla											https://www.ipokiso.com/company/2022/tripla.html		https://irbank.net//ir	宿泊施設などに対する、公式サイト予約システム『tripla Book』、AIチャットボットシステム『tripla Bot』などのサービスの提供	33.8	2015年4月（8年目）	11月25日(金)	東証グロース	"[{""株主名"": ""鳥生 格"", ""比率"": 23.66, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""高橋 和久（社長）"", ""比率"": 16.17, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""イノベーション・エンジン産業創出投資事業有限責任組合"", ""比率"": 7.14, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""MSIVC2018V投資事業有限責任組合"", ""比率"": 7.05, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""リード・グロース3号投資事業有限責任組合"", ""比率"": 6.86, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""ALL-JAPAN観光立国ファンド投資事業有限責任組合"", ""比率"": 3.67, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""NREGイノベーション1号投資事業有限責任組合"", ""比率"": 3.16, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""JR東日本スタートアップ（株）"", ""比率"": 2.52, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""イノベーション・エンジンPOC投資事業有限責任組合"", ""比率"": 2.21, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""CSAJ    スタートアップファンド投資事業有限責任組合"", ""比率"": 2.19, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}]"	"[{""営業収益（百万円）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""経常利益（百万円）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""当期純利益（百万円）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""純資産額 （百万円）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""1株あたりの純資産額（円）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""1株あたりの純利益（円）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""自己資本比率（％）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""自己資本利益率（％）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}]"	tripla[トリプラ]（5136）、クラウド型の公式予約サイトシステム「triplaBook」、AIチャットボット「triplaBot」などを宿泊施設に提供しています。「triplaBook」の収益モデルは、月額固定料金と予約数が一定値を超えてから発生する従量課金となっています。新型コロナウイルスの影響がある中でも、着実に売上を伸ばしており、将来的にさらに成長して黒字安定化することも十分に期待できます。	https://tripla.io/
	ティムス											https://www.ipokiso.com/company/2022/tms-japan.html		https://irbank.net//ir	医薬品、医薬部外品、医薬品原材料、医療用機器および医療用消耗品の研究および開発	244.8	2005年2月（18年目）	11月22日(火)	東証グロース	"[{""株主名"": ""大和日台バイオベンチャー投資事業有限責任組合"", ""比率"": 12.22, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""三菱UFJキャピタル4号投資事業有限責任組合"", ""比率"": 10.94, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""THVP-1号投資事業有限責任組合"", ""比率"": 8.22, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""ニッセイ・キャピタル9号投資事業有限責任組合"", ""比率"": 7.66, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""ニッセイ・キャピタル7号投資事業有限責任組合"", ""比率"": 6.64, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""Xseed High    Growth 投資事業有限責任組合"", ""比率"": 6.61, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""MSIVC2016V投資事業有限責任組合"", ""比率"": 4.46, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""蓮見 惠司"", ""比率"": 4.38, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""（株）新日本科学"", ""比率"": 4.05, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""ニッセイ・キャピタル10号投資事業有限責任組合"", ""比率"": 3.77, ""ロックアップ"": ""180日間"", ""isCEO"": false}]"	"[{""営業収益（百万円）"": {""2019年2月"": null, ""2020年2月"": null, ""2021年2月"": null, ""2022年2月"": null}}, {""経常利益（百万円）"": {""2019年2月"": null, ""2020年2月"": null, ""2021年2月"": null, ""2022年2月"": null}}, {""当期純利益（百万円）"": {""2019年2月"": null, ""2020年2月"": null, ""2021年2月"": null, ""2022年2月"": null}}, {""純資産額 （百万円）"": {""2019年2月"": null, ""2020年2月"": null, ""2021年2月"": null, ""2022年2月"": null}}, {""1株あたりの純資産額（円）"": {""2019年2月"": null, ""2020年2月"": null, ""2021年2月"": null, ""2022年2月"": null}}, {""1株あたりの純利益（円）"": {""2019年2月"": null, ""2020年2月"": null, ""2021年2月"": null, ""2022年2月"": null}}, {""自己資本比率（％）"": {""2019年2月"": null, ""2020年2月"": null, ""2021年2月"": null, ""2022年2月"": null}}, {""自己資本利益率（％）"": {""2019年2月"": null, ""2020年2月"": null, ""2021年2月"": null, ""2022年2月"": null}}]"	ティムス（4891）、医薬品開発における研究段階から早期臨床段階までをおこない、後期臨床段階からは、国内外の製薬会社と提携して開発製造販売権を与え、提携先の製薬会社から開発一時金およびロイヤリティ収入を得ています。業績推移を見る限り、まだ安定して収益を得られる基盤が確立しておらず、先行きは不透明です。	https://www.tms-japan.co.jp/
	ベースフード											https://www.ipokiso.com/company/2022/basefood.html		https://irbank.net//ir	完全栄養食の開発・販売	483.3	2016年4月（7年目）	11月15日(火)	東証グロース	"[{""株主名"": ""橋本    舜（社長）"", ""比率"": 34.27, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""グローバル・ブレイン6号投資事業有限責任組合"", ""比率"": 17.23, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""Rakuten    Capital S.C.Sp."", ""比率"": 8.13, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""グローバル・ブレイン7号投資事業有限責任組合"", ""比率"": 6.08, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""XTech1号投資事業有限責任組合"", ""比率"": 4.07, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""金子 裕"", ""比率"": 3.51, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""島田 孝文"", ""比率"": 2.32, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""齋藤 竜太"", ""比率"": 2.32, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""山本 陽介"", ""比率"": 2.32, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""THE    FUND投資事業有限責任組合"", ""比率"": 2.05, ""ロックアップ"": ""継続保有"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2019年2月"": null, ""2020年2月"": null, ""2021年2月"": null, ""2022年2月"": null}}, {""経常利益（百万円）"": {""2019年2月"": null, ""2020年2月"": null, ""2021年2月"": null, ""2022年2月"": null}}, {""当期純利益（百万円）"": {""2019年2月"": null, ""2020年2月"": null, ""2021年2月"": null, ""2022年2月"": null}}, {""純資産額 （百万円）"": {""2019年2月"": null, ""2020年2月"": null, ""2021年2月"": null, ""2022年2月"": null}}, {""1株あたりの純資産額（円）"": {""2019年2月"": null, ""2020年2月"": null, ""2021年2月"": null, ""2022年2月"": null}}, {""1株あたりの純利益（円）"": {""2019年2月"": null, ""2020年2月"": null, ""2021年2月"": null, ""2022年2月"": null}}, {""自己資本比率（％）"": {""2019年2月"": null, ""2020年2月"": null, ""2021年2月"": null, ""2022年2月"": null}}, {""自己資本利益率（％）"": {""2019年2月"": null, ""2020年2月"": null, ""2021年2月"": null, ""2022年2月"": null}}]"	ベースフード（2936）、1食で、他の食事で過剰に摂取されやすい脂質などを除くすべての栄養素で、1日分の基準値の3分の1以上を含む“完全栄養”の主食を中心とした「BASE FOOD」シリーズの開発・販売をおこなっています。直近の業績推移を見る限り、今は事業規模の拡大を優先しており、先行投資を積極的におこなっている結果、赤字となっている状況です。	https://basefood.co.jp/
	POPER											https://www.ipokiso.com/company/2022/poper.html		https://irbank.net//ir	教育事業者などのバックオフィス業務の効率化および保護者とのコミュニケーションを強化するSaaS型業務管理プラットフォーム『Comiru』の開発・提供	23.8	2015年1月（8年目）	11月15日(火)	東証グロース	"[{""株主名"": ""栗原    慎吾（社長）"", ""比率"": 30.38, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""学校法人駿河台学園"", ""比率"": 12.0, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""大和ベンチャー1号投資事業有限責任組合"", ""比率"": 11.63, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""KVPシード・イノベーション1号投資事業有限責任組合"", ""比率"": 5.97, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""繆 仁軍"", ""比率"": 4.6, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""（株）DGベンチャーズ"", ""比率"": 3.88, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""ニッセイ・キャピタル9号投資事業有限責任組合"", ""比率"": 3.88, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""（株）マイナビ"", ""比率"": 3.11, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""ニッセイ・キャピタル10号投資事業有限責任組合"", ""比率"": 3.05, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""フリービットインベストメント（株）"", ""比率"": 2.56, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""経常利益（百万円）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""当期純利益（百万円）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""純資産額 （百万円）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""1株あたりの純資産額（円）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""1株あたりの純利益（円）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""自己資本比率（％）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}, {""自己資本利益率（％）"": {""2018年10月"": null, ""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null}}]"	POPER[ポパー]（5134）、教育事業者向けに、集客・保護者コミュニケーション・業務効率化・顧客売上管理・講師管理などがおこなえるSaaS型業務管理プラットフォーム「Comiru」を提供しています。Comiruは、集客機能のみが利用できる無料プランから、生徒一人当たり300円で利用できるBASICプラン、生徒一人当たり500円で利用できるPROプランがあります。	https://poper.co/
	pluszero											https://www.ipokiso.com/company/2022/plus-zero.html		https://irbank.net//ir	AIとITを軸に各種テクノロジーを統合的に活用したソリューション提供事業	34.5	2018年（5年目）	10月28日(金)	東証グロース	"[{""株主名"": ""小代    義行（社長）"", ""比率"": 29.97, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""森 遼太"", ""比率"": 18.46, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""永田 基樹"", ""比率"": 18.46, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""小代 愛"", ""比率"": 9.28, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""(株)アビスト"", ""比率"": 4.44, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""野呂 祥"", ""比率"": 2.38, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""堀内 暢之"", ""比率"": 1.16, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""池下 克彦"", ""比率"": 0.84, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""潮 恵輔"", ""比率"": 0.84, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""(株)AAKRエンリッチ"", ""比率"": 0.84, ""ロックアップ"": """", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null, ""2022年10月  （第3四半期）"": null}}, {""経常利益（百万円）"": {""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null, ""2022年10月  （第3四半期）"": null}}, {""当期純利益（百万円）"": {""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null, ""2022年10月  （第3四半期）"": null}}, {""純資産額 （百万円）"": {""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null, ""2022年10月  （第3四半期）"": null}}, {""1株あたりの純資産額（円）"": {""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null, ""2022年10月  （第3四半期）"": null}}, {""1株あたりの純利益（円）"": {""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null, ""2022年10月  （第3四半期）"": null}}, {""自己資本比率（％）"": {""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null, ""2022年10月  （第3四半期）"": null}}, {""自己資本利益率（％）"": {""2019年10月"": null, ""2020年10月"": null, ""2021年10月"": null, ""2022年10月  （第3四半期）"": null}}]"	pluszero[プラスゼロ]（5132）、AIを中心とした各種テクノロジーを活用したソリューションを提供しています。ソリューションは、顧客ニーズ・案件に応じたサービスを提供するプロジェクト型、人間が対応しているように感じる仮想人材を提供するサービス型の2つがあります。	https://plus-zero.co.jp/
