買	企業名	最大何倍株	現在何倍株	コード	ビジネスモデル	参入障壁あるか	参入障壁の詳細	社長株%	想定時価総額（億円）	時価総額_上場1年以内（億円）	ノーバガー指標	5,7,10,N倍まで何年	Sector	Industry	上場廃止	PER	IPO情報URL	IR	有価証券報告書	会社URL	事業内容	備考	テンバガー指標	決算	決算伸び率%	会社設立	管理人からのコメント	上場日	市場	株主名と比率	企業業績のデータ（5年分）														
	売れるネット広告社			9235				44.61	35.9	None			通信サービス	広告代理店			https://www.ipokiso.com/company/2023/ureru.html	https://irbank.net/9235/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100RV81.pdf?sv=2020-08-04&st=2023-09-19T05%3A58%3A23Z&se=2028-09-19T15%3A00%3A00Z&sr=b&sp=rl&sig=y0jltXa0Ha0BksP%2BwaP55YW4cTYxuqr9dKVldl3XhR0%3D	https://www.ureru.co.jp/	D2C（ネット通販）事業者のインターネット広告の費用対効果を改善することを目的とした、クラウドサービスおよびマーケティング支援サービスの提供					2010年1月（14年目）	売れるネット広告社（9235）、インターネット広告の費用対効果を改善させるクラウドサービス「売れるD2Cつくーる」を提供し、さらにその顧客に対して、契約会社349社（2023年7月時点）の媒体に広告配信するマーケティング支援サービス「最強の売れるメディアプラットフォーム」を提供しています。	10月23日(月)	東証グロース	[{"株主名": "加藤 公一レオ（社長）", "比率": 44.61, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "（株）レオアセットマネジメント", "比率": 35.7, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "加藤 一恵", "比率": 8.92, "ロックアップ": "", "isCEO": false}, {"株主名": "福本 朋哉", "比率": 1.0, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "藤田 純", "比率": 0.77, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "植木原 宗平", "比率": 0.68, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "田中 真樹", "比率": 0.67, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "佐藤 精一", "比率": 0.67, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "黒田 香菜", "比率": 0.48, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "進藤 聡太", "比率": 0.48, "ロックアップ": "継続保有", "isCEO": false}]	[{"売上高（百万円）": {"2019年7月": 1889.0, "2020年7月": 2770.0, "2021年7月": 2401.0, "2022年7月": 844.0}}, {"経常利益（百万円）": {"2019年7月": 160.0, "2020年7月": 206.0, "2021年7月": 194.0, "2022年7月": -67.0}}, {"当期純利益（百万円）": {"2019年7月": 104.0, "2020年7月": 137.0, "2021年7月": 135.0, "2022年7月": -53.0}}, {"純資産額 （百万円）": {"2019年7月": 328.0, "2020年7月": 456.0, "2021年7月": 583.0, "2022年7月": 530.0}}, {"1株あたりの純資産額（円）": {"2019年7月": 109.0, "2020年7月": 152.0, "2021年7月": 194.0, "2022年7月": 177.0}}, {"1株あたりの純利益（円）": {"2019年7月": 35.0, "2020年7月": 46.0, "2021年7月": 45.0, "2022年7月": -18.0}}, {"自己資本比率（％）": {"2019年7月": 41.7, "2020年7月": 42.4, "2021年7月": 55.7, "2022年7月": 60.2}}, {"自己資本利益率（％）": {"2019年7月": 37.9, "2020年7月": 34.9, "2021年7月": 25.9, "2022年7月": null}}]														
	ケイファーマ			4896				22.03	120.2	63.8			ヘルスケア	バイオテクノロジー			https://www.ipokiso.com/company/2023/kpharma.html	https://irbank.net/4896/ir		https://www.kpharma.co.jp/	医薬品の研究・開発・製造・販売。再生医療等製品の研究・開発・製造・販売。					2016年11月（7年目）	ケイファーマ（4896）、iPS細胞を活用したiPS創薬事業と再生医療事業を展開しています。直近5年分の業績を見ると、売上ゼロで赤字が続いています。しかし、2023年12月期の第2四半期時点では、契約一時金やマイルストン収入（医薬品の開発が段階的に進む過程で、契約会社から支払われる報酬）の獲得により、経常利益651百万円を達成しています。	10月17日(火)	東証グロース	[{"株主名": "福島    弘明（社長）", "比率": 22.03, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "SBI Ventures    Two（株）", "比率": 13.71, "ロックアップ": "90日間\r\n    1.5倍", "isCEO": false}, {"株主名": "岡野 栄之", "比率": 11.59, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "中村 雅也", "比率": 11.59, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "大和日台バイオベンチャー2号投資事業有限責任組合", "比率": 10.34, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "テクノロジーベンチャーズ5号投資事業有限責任組合", "比率": 6.47, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "SBIベンチャー投資促進税制投資事業有限責任組合", "比率": 5.88, "ロックアップ": "90日間\r\n    1.5倍", "isCEO": false}, {"株主名": "かごしまバリューアップ投資事業有限責任組合", "比率": 5.8, "ロックアップ": "90日間\r\n    1.5倍", "isCEO": false}, {"株主名": "松本 真佐人", "比率": 4.97, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "林 哲", "比率": 2.26, "ロックアップ": "継続保有", "isCEO": false}]	[{"売上高（百万円）": {"2019年10月": null, "2020年12月": null, "2021年12月": null, "2022年12月": null}}, {"経常利益（百万円）": {"2019年10月": -256.0, "2020年12月": -270.0, "2021年12月": -221.0, "2022年12月": -359.0}}, {"当期純利益（百万円）": {"2019年10月": -256.0, "2020年12月": -271.0, "2021年12月": -229.0, "2022年12月": -392.0}}, {"純資産額 （百万円）": {"2019年10月": 279.0, "2020年12月": 8.0, "2021年12月": 179.0, "2022年12月": 1336.0}}, {"1株あたりの純資産額（円）": {"2019年10月": -45788.0, "2020年12月": -84539.0, "2021年12月": -107.0, "2022年12月": -123.0}}, {"1株あたりの純利益（円）": {"2019年10月": -37033.0, "2020年12月": -38751.0, "2021年12月": -30.0, "2022年12月": -42.0}}, {"自己資本比率（％）": {"2019年10月": 95.0, "2020年12月": 14.1, "2021年12月": 86.9, "2022年12月": 97.2}}, {"自己資本利益率（％）": {"2019年10月": null, "2020年12月": null, "2021年12月": null, "2022年12月": null}}]														
	成友興業			9170				71.79	31.3	None					廃止		https://www.ipokiso.com/company/2023/seiyukogyo.html	https://irbank.net/9170/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100RTV3.pdf?sv=2020-08-04&st=2023-09-08T06%3A39%3A38Z&se=2028-09-08T15%3A00%3A00Z&sr=b&sp=rl&sig=yC46njIz0V8djNjGzx%2FBuSpXq4JwArEn1ngg38p3FdE%3D	http://seiyukogyo.co.jp/	汚染土壌処理業、建設系産業廃棄物の収集運搬および中間処理、建設業					1975年3月（49年目）	成友興業（9170）、首都圏を中心に、建設系の産業廃棄物および汚染土壌などの収集運搬・中間処理・再資源化をおこなう「廃棄物処理事業」、道路舗装・土木・土地造成・上下水道工事などをおこなう「建設事業」を展開しています。直近の業績推移を見る限り、売上、利益ともに伸び悩んでおり、成長性はそれほど感じられません。	10月13日(金)	名証メイン	[{"株主名": "細沼    順人（社長）", "比率": 71.79, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "細沼 菜穂子", "比率": 17.1, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "成友興業従業員持株会", "比率": 1.68, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "細沼 理恵", "比率": 1.23, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "元石 真祐美", "比率": 0.66, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "萩森 孝紀", "比率": 0.42, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "鈴木 裕", "比率": 0.38, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "多摩信用金庫", "比率": 0.33, "ロックアップ": "", "isCEO": false}, {"株主名": "新富 明男", "比率": 0.28, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "藤盛 諭", "比率": 0.24, "ロックアップ": "180日間", "isCEO": false}]	[{"売上高（百万円）": {"2019年9月": 10081.0, "2020年9月": 10682.0, "2021年9月": 11857.0, "2022年9月": 11071.0}}, {"経常利益（百万円）": {"2019年9月": 379.0, "2020年9月": 338.0, "2021年9月": 374.0, "2022年9月": 312.0}}, {"当期純利益（百万円）": {"2019年9月": 245.0, "2020年9月": 204.0, "2021年9月": 237.0, "2022年9月": 279.0}}, {"純資産額 （百万円）": {"2019年9月": 2976.0, "2020年9月": 3182.0, "2021年9月": 3472.0, "2022年9月": 3675.0}}, {"1株あたりの純資産額（円）": {"2019年9月": 2369.0, "2020年9月": 2534.0, "2021年9月": 2764.0, "2022年9月": 2926.0}}, {"1株あたりの純利益（円）": {"2019年9月": 195.0, "2020年9月": 163.0, "2021年9月": 189.0, "2022年9月": 222.0}}, {"自己資本比率（％）": {"2019年9月": 25.2, "2020年9月": 28.4, "2021年9月": 31.1, "2022年9月": 34.9}}, {"自己資本利益率（％）": {"2019年9月": 8.6, "2020年9月": 6.4, "2021年9月": 7.0, "2022年9月": 7.8}}]														
	Earth TechnologyGroup			9333					91	None					廃止		https://www.ipokiso.com/company/2023/tech-earth.html	https://irbank.net/9333/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100RSLI.pdf?sv=2020-08-04&st=2023-09-01T05%3A26%3A09Z&se=2028-09-01T15%3A00%3A00Z&sr=b&sp=rl&sig=crFvBfgsSQy4INKXBiuPgvdRSU1mV9YALzErFvJuyE8%3D	https://www.tech-earth.co.jp/	バイリンガルエンジニアによるIT総合サービス事業およびクラウドシステムのトータルソリューションサービス事業					2020年4月（4年目）	Earth Technology Group[アーステクノロジーグループ]（9333）、「IT×英語」に特化した人材を採用・教育し、インフラ領域におけるITサービスを提供、また、SaaS製品などの導入コンサル、環境開発、サポートサービスを提供しています。2023年12月期の会社発表の業績予想を見るかぎり、着実に成長しているように見えます。	10月6日(金)	東証グロース	[{"株主名": "Sunrise    Capital III, L.P.", "比率": 45.41, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "Sunrise    Capital III (JPY), L.P.", "比率": 24.72, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "Sunrise    Capital III (Non-US), L.P.", "比率": 20.16, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "谷川 昭雄", "比率": 4.51, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "能代 達也（社長）", "比率": 4.51, "ロックアップ": "90日間", "isCEO": true}, {"株主名": "松永 好司", "比率": 0.68, "ロックアップ": "90日間", "isCEO": false}]	[{"売上高（百万円）": {"2020年12月": null, "2021年12月": 2776.0, "2022年12月": 3330.0, "2023年12月  （第2四半期）": 1779.0}}, {"税引前利益（百万円）": {"2020年12月": null, "2021年12月": 615.0, "2022年12月": 764.0, "2023年12月  （第2四半期）": 367.0}}, {"当期純利益（百万円）": {"2020年12月": null, "2021年12月": 449.0, "2022年12月": 530.0, "2023年12月  （第2四半期）": 239.0}}, {"純資産額 （百万円）": {"2020年12月": null, "2021年12月": 1367.0, "2022年12月": 1901.0, "2023年12月  （第2四半期）": null}}, {"1株あたりの純資産額（円）": {"2020年12月": null, "2021年12月": 312.0, "2022年12月": 435.0, "2023年12月  （第2四半期）": null}}, {"1株あたりの純利益（円）": {"2020年12月": null, "2021年12月": 103.0, "2022年12月": 121.0, "2023年12月  （第2四半期）": 54.0}}, {"自己資本比率（％）": {"2020年12月": null, "2021年12月": 38.5, "2022年12月": 48.7, "2023年12月  （第2四半期）": null}}, {"自己資本利益率（％）": {"2020年12月": null, "2021年12月": 39.2, "2022年12月": 32.7, "2023年12月  （第2四半期）": null}}]														
	キャスター			9331					12.4	22.3			産業	人材派遣・雇用サービス			https://www.ipokiso.com/company/2023/caster.html	https://irbank.net/9331/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100RS9D.pdf	https://caster.co.jp/	リモートアシスタントをはじめとした人材事業運営					2014年9月（9年目）	キャスター（9331）、顧客企業の希望に応じて、適切なスキルをもつリソースを、独自システムを用いて効率的に自動マッチングし、必要な時間だけ提供するサービス（WaaS：Workforce as a Service）を提供しています。直近の業績推移を見ると、急激な右肩上がりで事業規模を拡大しており、成長性も十分に感じられます。	10月4日(水)	東証グロース	[{"株主名": "インキュベイトファンド2号投資事業有限責任組合", "比率": 21.92, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "（株）ブルーマンデイ", "比率": 20.05, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "WiL Fund II,    L.P.", "比率": 11.21, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "大和ベンチャー1号投資事業有限責任組合", "比率": 9.33, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "STRIVE    III投資事業有限責任組合", "比率": 6.08, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "中川 祥太（社長）", "比率": 3.54, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "IF Growth    Opportunity Fund I, L.P.", "比率": 3.32, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "グリーンコインベスト投資事業有限責任組合", "比率": 3.32, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "SMBCベンチャーキャピタル3号投資事業有限責任組合", "比率": 2.8, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "合同会社Gunosy    Capital", "比率": 2.43, "ロックアップ": "180日間", "isCEO": false}]	[{"売上高（百万円）": {"2019年  8月": 941.0, "2020年  8月": 1481.0, "2021年  8月": 2235.0, "2022年  8月": 3338.0}}, {"経常利益（百万円）": {"2019年  8月": -443.0, "2020年  8月": -197.0, "2021年  8月": -354.0, "2022年  8月": -162.0}}, {"当期純利益（百万円）": {"2019年  8月": -516.0, "2020年  8月": -263.0, "2021年  8月": -337.0, "2022年  8月": -145.0}}, {"純資産額 （百万円）": {"2019年  8月": -279.0, "2020年  8月": 238.0, "2021年  8月": 356.0, "2022年  8月": 1010.0}}, {"1株あたりの純資産額（円）": {"2019年  8月": -35495.0, "2020年  8月": -38967.0, "2021年  8月": -1164.0, "2022年  8月": -1173.0}}, {"1株あたりの純利益（円）": {"2019年  8月": -17412.0, "2020年  8月": -8086.0, "2021年  8月": -244.0, "2022年  8月": -95.0}}, {"自己資本比率（％）": {"2019年  8月": -112.8, "2020年  8月": 21.4, "2021年  8月": 26.4, "2022年  8月": 48.3}}, {"自己資本利益率（％）": {"2019年  8月": null, "2020年  8月": null, "2021年  8月": null, "2022年  8月": null}}]														
	くすりの窓口			5592					180.1	139.6			ヘルスケア	健康情報サービス			https://www.ipokiso.com/company/2023/kusurinomadoguchi.html	https://irbank.net/5592/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100RS57.pdf	https://kusurinomadoguchi.co.jp/	薬局・医療・介護向けソリューションの提供					2004年9月（19年目）	くすりの窓口（5592）、医療と患者をつなぐプラットフォーム「EPARKくすりの窓口」と「EPARKお薬手帳」を運営するメディア事業、薬局に対して様々な解決策を提供する「みんなのお薬箱」事業、医療機関や薬局、介護施設に必要な事務処理システムや情報システムなどを販売する基幹システム事業を展開しています。直近の業績推移を見ると右肩上がりで売上を伸ばしており、今後の成長性も感じられます。	10月4日(水)	東証グロース	[{"株主名": "NBSEヘルステック投資事業有限責任組合", "比率": 32.98, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "（株）EPARK", "比率": 32.52, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "SBIイノベーションファンド1号", "比率": 29.72, "ロックアップ": "180日間\r\n    1.5倍", "isCEO": false}, {"株主名": "堤 幸治（社長）", "比率": 2.85, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "望月 裕介", "比率": 0.4, "ロックアップ": "", "isCEO": false}, {"株主名": "宮本 幸輝", "比率": 0.4, "ロックアップ": "", "isCEO": false}, {"株主名": "岩城 周平", "比率": 0.4, "ロックアップ": "", "isCEO": false}, {"株主名": "山口 遊生", "比率": 0.16, "ロックアップ": "", "isCEO": false}, {"株主名": "川上 浩司", "比率": 0.16, "ロックアップ": "", "isCEO": false}, {"株主名": "菅野 洋志", "比率": 0.09, "ロックアップ": "", "isCEO": false}]	[{"売上高（百万円）": {"2020年3月": 3219.0, "2021年3月": 4572.0, "2022年3月": 6489.0, "2023年3月": 7421.0}}, {"経常利益（百万円）": {"2020年3月": 131.0, "2021年3月": 374.0, "2022年3月": 816.0, "2023年3月": 939.0}}, {"当期純利益（百万円）": {"2020年3月": 107.0, "2021年3月": 652.0, "2022年3月": 516.0, "2023年3月": 391.0}}, {"純資産額 （百万円）": {"2020年3月": -174.0, "2021年3月": 869.0, "2022年3月": 2953.0, "2023年3月": 2794.0}}, {"1株あたりの純資産額（円）": {"2020年3月": -7799.0, "2021年3月": 35264.0, "2022年3月": 267.0, "2023年3月": 293.0}}, {"1株あたりの純利益（円）": {"2020年3月": 4809.0, "2021年3月": 28798.0, "2022年3月": 68.0, "2023年3月": 43.0}}, {"自己資本比率（％）": {"2020年3月": -2.5, "2021年3月": 5.9, "2022年3月": 22.2, "2023年3月": 22.0}}, {"自己資本利益率（％）": {"2020年3月": null, "2021年3月": 188.6, "2022年3月": 30.7, "2023年3月": 15.2}}]														
	西部技研			6223				23.42	666.3	276.8			産業	特殊産業機械			https://www.ipokiso.com/company/2023/seibu-giken.html	https://irbank.net/6223/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100RS55.pdf	https://seibu-giken.com/	デシカント除湿機や VOC濃縮装置等の製造、販売、据付・保守などのサービス					1965年7月（59年目）	西部技研（6223）、ハニカム（ハチの巣のような網目）成形の技術力をもとに、デシカント除湿器（空気中の水分を強制的に除去）やVOC（揮発性有機化合物）濃縮装置、全熱交換器の製造・販売をおこなっています。	10月3日(火)	東証スタンダード	[{"株主名": "(株)グリーンフューチャー", "比率": 26.93, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "隈扶三郎（社長）", "比率": 23.42, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "公益財団法人隈科学技術・文化振興会", "比率": 16.16, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "西部技研社員持株会", "比率": 10.84, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "下薗誠", "比率": 4.04, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "平川美和", "比率": 2.22, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "隈優作", "比率": 2.15, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "喜田桂祐", "比率": 2.15, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "永松資紹", "比率": 2.15, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "藤川貴史", "比率": 2.15, "ロックアップ": "180日間", "isCEO": false}]	[{"売上高（百万円）": {"2019年12月": 11170.0, "2020年12月": 9509.0, "2021年12月": 17403.0, "2022年12月": 24890.0}}, {"経常利益（百万円）": {"2019年12月": 1194.0, "2020年12月": 661.0, "2021年12月": 2063.0, "2022年12月": 4783.0}}, {"当期純利益（百万円）": {"2019年12月": 763.0, "2020年12月": 724.0, "2021年12月": 1695.0, "2022年12月": 3908.0}}, {"純資産額 （百万円）": {"2019年12月": 6526.0, "2020年12月": 7239.0, "2021年12月": 14097.0, "2022年12月": 17748.0}}, {"1株あたりの純資産額（円）": {"2019年12月": 32631.0, "2020年12月": 36195.0, "2021年12月": 705.0, "2022年12月": 956.0}}, {"1株あたりの純利益（円）": {"2019年12月": 3854.0, "2020年12月": 3621.0, "2021年12月": 85.0, "2022年12月": 196.0}}, {"自己資本比率（％）": {"2019年12月": 43.7, "2020年12月": 45.0, "2021年12月": 55.0, "2022年12月": 57.1}}, {"自己資本利益率（％）": {"2019年12月": 12.9, "2020年12月": 10.5, "2021年12月": 13.1, "2022年12月": 24.5}}]														
	ニッポンインシュア			5843					21.5	17.1			金融サービス	多様化保険			https://www.ipokiso.com/company/2023/nipponinsure.html	https://irbank.net/5843/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100RRUN.pdf	https://www.nipponinsure.jp/	家賃債務保証サービスを主とした保証事業など					2002年4月（22年目）	ニッポンインシュア（5843）、賃貸住宅などにおける家賃債務の保証をおこなう家賃債務保証サービス、介護費債務保証サービス、入院費債務保証サービスを展開しています。直近の業績推移を見ると、右肩上がりで業績を拡大しており、今後の成長にも期待できそうです。	10月3日(火)	東証スタンダード	[{"株主名": "三好 修", "比率": 29.26, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "三好 京子", "比率": 16.52, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "（株）Mサポート", "比率": 14.16, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "（株）サンコー管理", "比率": 14.16, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "坂本 真也（社長）", "比率": 5.66, "ロックアップ": "90日間", "isCEO": true}, {"株主名": "竹村 洋一", "比率": 5.64, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "德岡 拓郎", "比率": 5.64, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "矢野 泉", "比率": 4.72, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "渡辺 誠", "比率": 2.83, "ロックアップ": "", "isCEO": false}, {"株主名": "今野 幸輝", "比率": 0.94, "ロックアップ": "90日間", "isCEO": false}]	[{"売上高（百万円）": {"2019年9月": 1508.0, "2020年9月": 1736.0, "2021年9月": 2169.0, "2022年9月": 2605.0}}, {"経常利益（百万円）": {"2019年9月": 204.0, "2020年9月": 149.0, "2021年9月": 193.0, "2022年9月": 406.0}}, {"当期純利益（百万円）": {"2019年9月": 148.0, "2020年9月": 101.0, "2021年9月": 105.0, "2022年9月": 255.0}}, {"純資産額 （百万円）": {"2019年9月": 446.0, "2020年9月": 547.0, "2021年9月": 652.0, "2022年9月": 906.0}}, {"1株あたりの純資産額（円）": {"2019年9月": 2230767.0, "2020年9月": 2733609.0, "2021年9月": 326.0, "2022年9月": 453.0}}, {"1株あたりの純利益（円）": {"2019年9月": 740309.0, "2020年9月": 502842.0, "2021年9月": 53.0, "2022年9月": 128.0}}, {"自己資本比率（％）": {"2019年9月": 34.1, "2020年9月": 30.2, "2021年9月": 28.9, "2022年9月": 31.1}}, {"自己資本利益率（％）": {"2019年9月": 41.5, "2020年9月": 20.3, "2021年9月": 17.6, "2022年9月": 32.8}}]														
	AVILEN			5591					121	113.8			技術	ソフトウェア - インフラストラクチャ			https://www.ipokiso.com/company/2023/avilen.html	https://irbank.net/5591/ir		https://corp.avilen.co.jp/	AIソフトウエアおよびビルドアップパッケージの提供をはじめとするAIソリューション事業					2018年8月（6年目）	AVILEN[アヴィレン]（5591）、独自開発した「AVILEN AI」を活用したAIソフトウエアの開発、実装、DX・AI化のための組織開発、人材育成コンテンツを提供することで、企業のAI実装を支援しています。直近の業績推移を見ると、急激な右肩上がりで事業規模を拡大しており、成長性も十分にあります。	9月27日(水)	東証グロース	[{"株主名": "ジャフコSV6投資事業有限責任組合", "比率": 29.95, "ロックアップ": "90日間\r\n    1.5倍", "isCEO": false}, {"株主名": "日本郵政キャピタル（株）", "比率": 20.95, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "（株）大塚商会", "比率": 18.1, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "ジャフコSV6-S投資事業有限責任組合", "比率": 7.49, "ロックアップ": "90日間\r\n    1.5倍", "isCEO": false}, {"株主名": "崔 一鳴", "比率": 6.43, "ロックアップ": "90日間\r\n    2.5倍", "isCEO": false}, {"株主名": "大川 遥平", "比率": 4.24, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "高橋 光太郎（社長）", "比率": 3.9, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "吉田 拓真", "比率": 1.71, "ロックアップ": "90日間\r\n    2.5倍", "isCEO": false}, {"株主名": "（株）エアトリ", "比率": 1.43, "ロックアップ": "90日間\r\n    1.5倍", "isCEO": false}, {"株主名": "高橋 香輝", "比率": 1.29, "ロックアップ": "90日間\r\n    2.5倍", "isCEO": false}]	[{"売上高（百万円）": {"2020年7月": 248.0, "2020年12月": 55.0, "2021年12月": 478.0, "2022年12月": 732.0}}, {"経常利益（百万円）": {"2020年7月": 110.0, "2020年12月": -28.0, "2021年12月": 84.0, "2022年12月": 111.0}}, {"当期純利益（百万円）": {"2020年7月": 70.0, "2020年12月": -19.0, "2021年12月": 59.0, "2022年12月": 79.0}}, {"純資産額 （百万円）": {"2020年7月": 83.0, "2020年12月": 64.0, "2021年12月": 124.0, "2022年12月": 204.0}}, {"1株あたりの純資産額（円）": {"2020年7月": 3.0, "2020年12月": 2.0, "2021年12月": 20.0, "2022年12月": 34.0}}, {"1株あたりの純利益（円）": {"2020年7月": 2.0, "2020年12月": -1.0, "2021年12月": 10.0, "2022年12月": 13.0}}, {"自己資本比率（％）": {"2020年7月": 61.8, "2020年12月": 28.3, "2021年12月": 33.4, "2022年12月": 48.6}}, {"自己資本利益率（％）": {"2020年7月": 145.5, "2020年12月": null, "2021年12月": 63.2, "2022年12月": 48.8}}]														
	オカムラ食品工業			2938				21.48	130.8	167.9			消費者防衛	農産物			https://www.ipokiso.com/company/2023/okamurashokuhin.html	https://irbank.net/2938/ir		https://www.okamurashokuhin.co.jp/	サーモンの養殖、水産品の加工・販売					1971年8月（53年目）	オカムラ食品工業（2938）、日本とデンマークでサーモントラウトの養殖事業、国内・海外加工事業、海外卸売事業を展開しています。世界的な日本食ブームを背景に、海外における日本食レストランの数が右肩上がりで増加しています（新型コロナの流行で直近は伸びが鈍化しました）。それにともない、オカムラ食品工業の業績も右肩上がりで急激に伸びています。ただ、事業内容がIPOのテーマとしては弱めなので、人気化は期待しづらいです。	9月27日(水)	東証スタンダード	[{"株主名": "（株）オカムラ", "比率": 40.45, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "岡村 恒一（社長）", "比率": 21.48, "ロックアップ": "90日間", "isCEO": true}, {"株主名": "Steelhead Aps", "比率": 6.08, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "岡村 直子", "比率": 4.01, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "八木 康次", "比率": 3.79, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "岡村 祥平", "比率": 2.05, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "岡村 大祐", "比率": 1.8, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "岡村 麻里", "比率": 1.8, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "岡村 英樹", "比率": 1.64, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "岡村 亮治", "比率": 1.64, "ロックアップ": "90日間", "isCEO": false}]	[{"売上高（百万円）": {"2019年6月": 5852.0, "2020年6月": 14478.0, "2021年6月": 20214.0, "2022年6月": 24100.0}}, {"経常利益（百万円）": {"2019年6月": 167.0, "2020年6月": 788.0, "2021年6月": 1593.0, "2022年6月": 3341.0}}, {"当期純利益（百万円）": {"2019年6月": 96.0, "2020年6月": -1089.0, "2021年6月": 992.0, "2022年6月": 2249.0}}, {"純資産額 （百万円）": {"2019年6月": 3942.0, "2020年6月": 2796.0, "2021年6月": 5265.0, "2022年6月": 7447.0}}, {"1株あたりの純資産額（円）": {"2019年6月": 17559.0, "2020年6月": 12455.0, "2021年6月": 782.0, "2022年6月": 1106.0}}, {"1株あたりの純利益（円）": {"2019年6月": 518.0, "2020年6月": -4851.0, "2021年6月": 147.0, "2022年6月": 334.0}}, {"自己資本比率（％）": {"2019年6月": 27.2, "2020年6月": 18.7, "2021年6月": 30.3, "2022年6月": 30.6}}, {"自己資本利益率（％）": {"2019年6月": 3.2, "2020年6月": null, "2021年6月": 18.8, "2022年6月": 35.4}}]														
